final_test_accuracy,final_train_accuracy,final_entropy,final_angle,best_test_accuracy,best_epoch,dataset,seed,experiment_type,weight,reg_id,experiment_dir,final_entropy_layer1,final_entropy_layer2,final_entropy_layer3,final_angle_layer1,final_angle_layer2,final_angle_layer3,config_dataset,config_model,config_dropout,config_optimizer,config_learning_rate,config_weight_decay,config_batch_size,config_epochs,config_early_stopping_patience,config_random_seed,config_use_regularization,temperature,threshold,layers,config_regularization_weight,config_regularization_temperature,config_regularization_similarity_threshold,delta_final_test_accuracy,delta_final_train_accuracy,delta_final_entropy,delta_final_angle,delta_best_test_accuracy
0.7988826815642458,0.8370786516853933,0.6616512639388776,8.019441604614258,0.8044692737430168,11,titanic,1,cohesion,0.1,w0.1_t0.07_thr0.0_L3,D:/concept_fragmentation_results\cohesion\titanic\w0.1_t0.07_thr0.0_L3\seed_1,0.7739296652171785,0.6751303422291244,0.6616512639388776,22.677209854125977,26.264251708984375,8.019441604614258,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,1.0,True,0.07,0.0,[],0.1,0.07,0.0,0.0,0.001404494382022503,0.018156667894208,1.6568055152893066,-0.005586592178770888
0.7988826815642458,0.8398876404494382,0.6065280740115992,5.567880630493164,0.8100558659217877,13,titanic,2,cohesion,0.1,w0.1_t0.07_thr0.0_L3,D:/concept_fragmentation_results\cohesion\titanic\w0.1_t0.07_thr0.0_L3\seed_2,0.6119998016429834,0.6065280740115992,0.6065280740115992,24.62050437927246,32.91497039794922,5.567880630493164,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,2.0,True,0.07,0.0,[],0.1,0.07,0.0,-0.005586592178770999,0.001404494382022503,-0.04001846587590263,-3.1086769104003906,0.0
0.7988826815642458,0.8160112359550562,0.5901865752855818,7.730243682861328,0.8100558659217877,6,titanic,0,cohesion,0.1,w0.1_t0.07_thr0.3_L2-3,D:/concept_fragmentation_results\cohesion\titanic\w0.1_t0.07_thr0.3_L2-3\seed_0,0.7996885831693081,0.6205029106460009,0.5901865752855818,23.052291870117188,16.415424346923828,7.730243682861328,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,0.0,True,0.07,0.0,[],0.1,0.07,0.3,0.005586592178770888,-0.0196629213483146,-0.053308020759087804,-3.8258419036865234,-0.005586592178770999
0.7988826815642458,0.8370786516853933,0.6616512639388776,8.019441604614258,0.8044692737430168,11,titanic,1,cohesion,0.1,w0.1_t0.07_thr0.3_L2-3,D:/concept_fragmentation_results\cohesion\titanic\w0.1_t0.07_thr0.3_L2-3\seed_1,0.7739296652171785,0.6751303422291244,0.6616512639388776,22.677209854125977,26.264251708984375,8.019441604614258,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,1.0,True,0.07,0.0,[],0.1,0.07,0.3,0.0,0.001404494382022503,0.018156667894208,1.6568055152893066,-0.005586592178770888
0.7988826815642458,0.8398876404494382,0.6065280740115992,5.567880630493164,0.8100558659217877,13,titanic,2,cohesion,0.1,w0.1_t0.07_thr0.3_L2-3,D:/concept_fragmentation_results\cohesion\titanic\w0.1_t0.07_thr0.3_L2-3\seed_2,0.6119998016429834,0.6065280740115992,0.6065280740115992,24.62050437927246,32.91497039794922,5.567880630493164,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,2.0,True,0.07,0.0,[],0.1,0.07,0.3,-0.005586592178770999,0.001404494382022503,-0.04001846587590263,-3.1086769104003906,0.0
0.7988826815642458,0.8160112359550562,0.5901865752855818,7.730243682861328,0.8100558659217877,6,titanic,0,cohesion,0.1,w0.1_t0.07_thr0.3_L3,D:/concept_fragmentation_results\cohesion\titanic\w0.1_t0.07_thr0.3_L3\seed_0,0.7996885831693081,0.6205029106460009,0.5901865752855818,23.052291870117188,16.415424346923828,7.730243682861328,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,0.0,True,0.07,0.0,[],0.1,0.07,0.3,0.005586592178770888,-0.0196629213483146,-0.053308020759087804,-3.8258419036865234,-0.005586592178770999
0.7988826815642458,0.8370786516853933,0.6616512639388776,8.019441604614258,0.8044692737430168,11,titanic,1,cohesion,0.1,w0.1_t0.07_thr0.3_L3,D:/concept_fragmentation_results\cohesion\titanic\w0.1_t0.07_thr0.3_L3\seed_1,0.7739296652171785,0.6751303422291244,0.6616512639388776,22.677209854125977,26.264251708984375,8.019441604614258,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,1.0,True,0.07,0.0,[],0.1,0.07,0.3,0.0,0.001404494382022503,0.018156667894208,1.6568055152893066,-0.005586592178770888
0.7988826815642458,0.8398876404494382,0.6065280740115992,5.567880630493164,0.8100558659217877,13,titanic,2,cohesion,0.1,w0.1_t0.07_thr0.3_L3,D:/concept_fragmentation_results\cohesion\titanic\w0.1_t0.07_thr0.3_L3\seed_2,0.6119998016429834,0.6065280740115992,0.6065280740115992,24.62050437927246,32.91497039794922,5.567880630493164,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,2.0,True,0.07,0.0,[],0.1,0.07,0.3,-0.005586592178770999,0.001404494382022503,-0.04001846587590263,-3.1086769104003906,0.0
0.7988826815642458,0.8160112359550562,0.5901865752855818,7.730243682861328,0.8100558659217877,6,titanic,0,cohesion,0.5,w0.5_t0.07_thr0.3_L2-3,D:/concept_fragmentation_results\cohesion\titanic\w0.5_t0.07_thr0.3_L2-3\seed_0,0.7996885831693081,0.6205029106460009,0.5901865752855818,23.052291870117188,16.415424346923828,7.730243682861328,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,0.0,True,0.07,0.0,[],0.5,0.07,0.3,0.005586592178770888,-0.0196629213483146,-0.053308020759087804,-3.8258419036865234,-0.005586592178770999
0.7988826815642458,0.8370786516853933,0.6616512639388776,8.019441604614258,0.8044692737430168,11,titanic,1,cohesion,0.5,w0.5_t0.07_thr0.3_L2-3,D:/concept_fragmentation_results\cohesion\titanic\w0.5_t0.07_thr0.3_L2-3\seed_1,0.7739296652171785,0.6751303422291244,0.6616512639388776,22.677209854125977,26.264251708984375,8.019441604614258,titanic,feedforward,0.2,adam,0.001,0.0001,32.0,50.0,10.0,1.0,True,0.07,0.0,[],0.5,0.07,0.3,0.0,0.001404494382022503,0.018156667894208,1.6568055152893066,-0.005586592178770888
